,Win,Loss,Tie
HHO,4,0,1
HC,4,0,1
DE,4,0,1
WO,4,0,1
EHO,4,0,1
GGO,4,0,1
WOA,4,0,1
GA,4,0,1
PSO,4,0,1
QSO,4,0,1
SA,4,0,1
AHHO,4,0,1
PSO-GWO,4,0,1
HO,4,0,1
CPO,4,0,1
